kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,ODS,ČSSD,KSČM,ANO 2011,SPD,Piráti,COS,Rado. Č.,STAN,Zelený,ROZUMNÍ,SSO,BPI,ODA,EU referendum,TOP 09,DB 2016,SPR,Křesťaní,ČSNS,REALIST,SPORT,DSSS,SPO
579041,Batňovice,635,415,414,53,"0,00",20,"0,72",1,27,0,0,"0,00","4,83",0,"0,00",10,"2,41","6,52",3,1,"0,24",5,0,"1,20",0,"0,00","0,24"
579050,Bernartice,725,441,439,41,"0,00",26,"0,68",0,54,0,0,"0,00","5,92",0,"0,00",15,"3,41","12,30",3,4,"0,91",4,0,"0,91",0,"0,00","0,00"
579068,Bílá Třemešná,1081,678,674,39,"0,14",41,"1,78",1,50,1,0,"0,00","6,08",0,"0,00",24,"3,56","7,41",12,10,"1,48",15,0,"2,22",0,"0,00","0,14"
579076,Bílé Poličany,134,98,98,10,"0,00",8,"1,02",0,12,0,0,"0,00","8,16",0,"0,00",7,"7,14","12,24",1,0,"0,00",0,0,"0,00",0,"0,00","0,00"
579092,Borovnice,305,178,174,24,"0,00",10,"2,87",0,12,0,0,"0,00","5,74",1,"0,57",15,"8,62","6,89",5,0,"0,00",0,0,"0,00",0,"0,00","0,00"
548821,Borovnička,157,90,90,11,"0,00",8,"0,00",0,8,0,0,"0,00","8,88",0,"0,00",3,"3,33","8,88",0,1,"1,11",1,0,"1,11",0,"0,00","0,00"
579106,Čermná,316,194,193,15,"0,00",14,"1,03",0,27,0,1,"0,51","7,25",0,"0,00",12,"6,21","13,98",2,3,"1,55",4,0,"2,07",2,"1,03","0,00"
579114,Černý Důl,576,410,408,53,"0,24",24,"1,22",0,39,1,0,"0,00","5,88",1,"0,24",32,"7,84","9,55",5,5,"1,22",4,0,"0,98",1,"0,24","0,00"
579122,Dolní Branná,803,590,585,87,"0,34",38,"0,51",0,37,2,0,"0,00","6,49",1,"0,17",60,"10,25","6,32",3,4,"0,68",16,0,"2,73",0,"0,00","0,00"
554863,Dolní Brusnice,314,215,213,29,"0,00",6,"0,46",1,20,0,0,"0,00","2,81",1,"0,46",12,"5,63","9,38",1,1,"0,46",2,0,"0,93",1,"0,46","0,46"
579149,Dolní Dvůr,228,148,148,18,"0,67",8,"2,02",0,11,1,0,"0,00","5,40",0,"0,00",31,"20,94","7,43",3,2,"1,35",2,0,"1,35",1,"0,67","0,00"
579157,Dolní Kalná,544,359,358,33,"0,00",15,"1,11",0,23,0,0,"0,00","4,18",0,"0,00",42,"11,73","6,42",4,3,"0,83",6,0,"1,67",0,"0,00","0,00"
579165,Dolní Lánov,600,327,326,41,"0,00",11,"0,30",1,22,0,0,"0,00","3,37",0,"0,00",39,"11,96","6,74",1,2,"0,61",5,0,"1,53",2,"0,61","0,30"
