kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,ODS,ČSSD,KSČM,ANO 2011,SPD,Piráti,COS,Rado. Č.,STAN,Zelený,ROZUMNÍ,SSO,BPI,ODA,EU referendum,TOP 09,DB 2016,SPR,Křesťaní,ČSNS,REALIST,SPORT,DSSS,SPO
565423,Bdín,51,34,34,1,"0,00",7,0,3,1,0,0,"0,00","20,58",0,"0,00",1,"2,94",1,"2,94","0,00",0,"0,00",0,"0,00",0,"0,00","8,82"
541672,Branov,170,120,119,10,"0,84",14,1,13,23,1,0,"0,00","11,76",0,"0,00",0,"0,00",0,"0,00","0,84",1,"0,84",0,"0,00",0,"0,00","10,92"
565041,Břežany,106,71,69,6,"0,00",4,1,9,12,0,0,"0,00","5,79",1,"1,44",4,"5,79",0,"0,00","1,44",1,"1,44",0,"0,00",0,"0,00","13,04"
541699,Čistá,724,388,387,42,"0,00",33,7,30,67,0,0,"0,00","8,52",0,"0,00",26,"6,71",5,"1,29","1,80",3,"0,77",0,"0,00",0,"0,00","7,75"
565181,Děkov,160,63,63,7,"3,17",7,0,3,14,2,0,"0,00","11,11",0,"0,00",5,"7,93",2,"3,17","0,00",0,"0,00",0,"0,00",1,"1,58","4,76"
529711,Drahouš,64,41,41,2,"0,00",1,0,2,7,0,0,"0,00","2,43",0,"0,00",8,"19,51",0,"0,00","0,00",0,"0,00",1,"2,43",0,"0,00","4,87"
541729,Hořesedly,331,183,183,10,"0,00",14,1,7,40,0,0,"0,00","7,65",0,"0,00",9,"4,91",4,"2,18","0,54",5,"2,73",0,"0,00",0,"0,00","3,82"
541737,Hořovičky,385,170,168,9,"1,19",20,3,7,20,2,0,"0,00","11,90",0,"0,00",2,"1,19",0,"0,00","1,78",0,"0,00",0,"0,00",1,"0,59","4,16"
565202,Hracholusky,66,49,49,5,"0,00",2,0,11,5,0,0,"0,00","4,08",0,"0,00",4,"8,16",2,"4,08","0,00",0,"0,00",0,"0,00",0,"0,00","22,44"
541761,Hřebečníky,220,153,152,18,"0,00",6,1,6,30,0,0,"0,00","3,94",1,"0,65",12,"7,89",2,"1,31","0,65",2,"1,31",0,"0,00",0,"0,00","3,94"
541770,Hředle,464,276,275,25,"0,00",26,1,19,45,0,0,"0,00","9,45",0,"0,00",17,"6,18",4,"1,45","0,36",1,"0,36",0,"0,00",0,"0,00","6,90"
565334,Hvozd,133,77,75,1,"0,00",5,0,5,21,0,0,"0,00","6,66",0,"0,00",4,"5,33",0,"0,00","0,00",1,"1,33",0,"0,00",0,"0,00","6,66"
541818,Chrášťany,532,306,304,22,"0,00",25,1,25,31,0,0,"0,00","8,22",0,"0,00",18,"5,92",1,"0,32","0,32",3,"0,98",0,"0,00",0,"0,00","8,22"
565270,Janov,109,87,87,14,"0,00",2,0,8,9,0,0,"0,00","2,29",0,"0,00",9,"10,34",0,"0,00","0,00",0,"0,00",0,"0,00",0,"0,00","9,19"
541834,Jesenice,1321,723,722,60,"0,13",70,4,49,87,1,2,"0,27","9,69",1,"0,13",44,"6,09",11,"1,52","0,55",3,"0,41",2,"0,27",0,"0,00","6,78"
565440,Kalivody,81,53,53,8,"0,00",6,0,2,4,0,0,"0,00","11,32",0,"0,00",7,"13,20",0,"0,00","0,00",0,"0,00",0,"0,00",0,"0,00","3,77"
565288,Karlova Ves,102,78,77,5,"0,00",4,1,10,18,0,0,"0,00","5,19",0,"0,00",12,"15,58",1,"1,29","1,29",0,"0,00",0,"0,00",0,"0,00","12,98"
541877,Kněževes,800,447,445,42,"0,00",44,7,22,42,0,0,"0,00","9,88",0,"0,00",13,"2,92",9,"2,02","1,57",2,"0,44",0,"0,00",0,"0,00","4,94"
565199,Kolešov,111,55,52,4,"0,00",2,0,2,4,0,0,"0,00","3,84",0,"0,00",0,"0,00",1,"1,92","0,00",0,"0,00",0,"0,00",0,"0,00","3,84"
541893,Kolešovice,686,383,381,24,"0,00",45,5,22,45,0,0,"0,00","11,81",0,"0,00",18,"4,72",0,"0,00","1,31",0,"0,00",0,"0,00",0,"0,00","5,77"
541907,Kounov,410,191,189,14,"0,00",20,0,21,40,0,0,"0,00","10,58",0,"0,00",2,"1,05",0,"0,00","0,00",1,"0,52",0,"0,00",0,"0,00","11,11"
565385,Kozojedy,74,61,61,6,"0,00",2,0,3,9,0,0,"0,00","3,27",0,"0,00",8,"13,11",0,"0,00","0,00",1,"1,63",0,"0,00",0,"0,00","4,91"
565351,Krakov,101,71,71,7,"0,00",20,2,0,5,0,0,"0,00","28,16",0,"0,00",1,"1,40",2,"2,81","2,81",0,"0,00",0,"0,00",0,"0,00","0,00"
565369,Krakovec,56,33,33,6,"0,00",4,0,1,3,0,0,"0,00","12,12",0,"0,00",1,"3,03",0,"0,00","0,00",2,"6,06",0,"0,00",0,"0,00","3,03"
541940,Kroučová,208,137,136,8,"0,00",7,0,3,12,0,0,"0,00","5,14",0,"0,00",50,"36,76",0,"0,00","0,00",0,"0,00",0,"0,00",0,"0,00","2,20"
598500,Krty,106,70,70,6,"0,00",2,0,7,11,0,0,"0,00","2,85",0,"0,00",1,"1,42",1,"1,42","0,00",2,"2,85",0,"0,00",0,"0,00","10,00"
541966,Krupá,376,194,194,9,"0,51",8,2,13,25,1,0,"0,00","4,12",0,"0,00",11,"5,67",3,"1,54","1,03",2,"1,03",0,"0,00",0,"0,00","6,70"
541974,Krušovice,485,307,306,30,"0,00",24,2,22,35,0,0,"0,00","7,84",0,"0,00",44,"14,37",1,"0,32","0,65",10,"3,26",1,"0,32",0,"0,00","7,18"
541982,Křivoklát,594,323,321,39,"0,00",23,2,39,27,0,0,"0,00","7,16",0,"0,00",19,"5,91",2,"0,62","0,62",8,"2,49",0,"0,00",0,"0,00","12,14"
542008,Lašovice,105,61,61,4,"1,63",4,2,1,11,1,0,"0,00","6,55",0,"0,00",3,"4,91",2,"3,27","3,27",2,"3,27",0,"0,00",0,"0,00","1,63"
542016,Lišany,549,336,331,18,"0,00",42,1,37,43,0,0,"0,00","12,68",0,"0,00",15,"4,53",3,"0,90","0,30",4,"1,20",0,"0,00",0,"0,00","11,17"
542032,Lubná,754,468,467,54,"0,42",36,3,54,59,2,0,"0,00","7,70",0,"0,00",24,"5,13",6,"1,28","0,64",3,"0,64",0,"0,00",0,"0,00","11,56"
542041,Lužná,1525,944,938,78,"0,00",75,7,85,111,0,0,"0,00","7,99",0,"0,00",49,"5,22",12,"1,27","0,74",6,"0,63",3,"0,31",1,"0,10","9,06"
565377,Malinová,68,47,47,7,"0,00",2,0,4,11,0,0,"0,00","4,25",0,"0,00",0,"0,00",0,"0,00","0,00",0,"0,00",0,"0,00",0,"0,00","8,51"
542067,Městečko,361,226,224,18,"0,00",13,2,35,21,0,0,"0,00","5,80",0,"0,00",14,"6,25",0,"0,00","0,89",5,"2,23",0,"0,00",0,"0,00","15,62"
542075,Milostín,242,140,140,3,"0,00",4,1,12,23,0,0,"0,00","2,85",0,"0,00",10,"7,14",0,"0,00","0,71",1,"0,71",0,"0,00",0,"0,00","8,57"
565466,Milý,149,98,96,5,"0,00",2,1,12,3,0,0,"0,00","2,08",0,"0,00",4,"4,16",0,"0,00","1,04",5,"5,20",0,"0,00",1,"1,04","12,50"
542105,Mšec,703,434,432,47,"0,00",30,2,53,23,0,1,"0,23","6,94",0,"0,00",36,"8,33",2,"0,46","0,46",5,"1,15",0,"0,00",0,"0,00","12,26"
542113,Mšecké Žehrovice,456,291,287,34,"0,00",19,2,26,29,0,0,"0,00","6,62",0,"0,00",13,"4,52",5,"1,74","0,69",1,"0,34",2,"0,69",1,"0,34","9,05"
542121,Mutějovice,648,336,336,26,"0,59",32,4,36,40,2,0,"0,00","9,52",0,"0,00",19,"5,65",6,"1,78","1,19",2,"0,59",0,"0,00",0,"0,00","10,71"
542130,Nesuchyně,324,186,186,15,"0,00",26,2,18,20,0,0,"0,00","13,97",0,"0,00",13,"6,98",1,"0,53","1,07",0,"0,00",0,"0,00",0,"0,00","9,67"
